# Snapshot of production `supabase_migrations.schema_migrations` — taken 2026-08-24, BEFORE the
# ledger repair and BEFORE `perf_advisors` was applied. 73 rows, the complete prior state.
#
# ⚠️ THIS IS NOT A DATABASE BACKUP. It is bookkeeping only: no user data, no schema objects,
# nothing that cascades. It exists so the exact prior state of the ledger can be restored by hand
# if the repair goes wrong. The children's data still has NO backup and no PITR — see
# docs/launch-plan.md (launch blocker) and docs/schema-baseline-debt.md.
#
# Columns:
#   version   the ledger key. `supabase db push` compares local filename versions against these.
#   name      informational only; push does not match on it.
#   sql_md5   md5(array_to_string(statements, E'\n'))              — the applied SQL, verbatim.
#   norm_md5  md5 of the same text with `--` comments and ALL whitespace stripped. This is what
#             pairs a ledger row to a repo file: the CLI strips leading comments when it stores a
#             migration, so a raw hash does not compare and a NAME comparison is a guess.
#
# Regenerate / verify with:
#   select version, name,
#          md5(array_to_string(statements, E'\n')) as sql_md5,
#          md5(regexp_replace(regexp_replace(array_to_string(statements, E'\n'),
#              '--[^\n]*', '', 'g'), '\s+', '', 'g')) as norm_md5
#   from supabase_migrations.schema_migrations order by version;
#
version	name	sql_md5	norm_md5
20260615083757	fix_sync_session_chapter_type_cast	e0e23a12346e70e3bc249a3bafb78993	4ac339dfc57683ef189493d15f271ea2
20260615123941	create_learner_state_cross_device_shop	e7db46bd366846810e4098ca91512f21	7a8de1dc2f351b55d9eb5f1fe7163cf6
20260615142012	secure_learners_rls	19ae4f8f6764f3cb378f854878af8cf0	2fb6a0a21ff3e28754f807675dfa84e4
20260615142049	lock_down_security_definer_rpcs	2877032f6694a047d46ad73ff3552b68	e68a55183687c76b3d7f6fcbcea21c0e
20260615142138	rls_initplan_perf	09668003fdb1bfe8d3935b810cbb39a9	ee7dbf5cfcc50f2158e7557966256edd
20260615142414	add_fk_covering_indexes	2220a63e12cb9f111f0b2bf7cace656c	bbb77faad7e55e826c63d2baf303cd93
20260615142513	add_get_learner_bootstrap_rpc	20618c3788e9e6834c3e9a42bf972c17	483d185ad5cd6aa8917c3a2e49a902ed
20260615142939	drop_unused_offline_queue	f0aaa128243d35e7275c6b65a3ea38ea	a227343e2db3be6bf4b8caaa80d5d95f
20260616074944	add_age_group_to_learners	de787034e48c0ed6562ad60fa9fb8423	ced7952708c75fde3cd31e5ad113f810
20260616094022	chapters_as_data	c5debf973363949a99b5451234525d77	20f53d80263c2c58cfce6348edb3648d
20260616094232	index_chapter_fks	4e98ef6f7e91683a97d15c15e2fdb8cd	a5e6908560e4edffd0f159ccf74ddc51
20260616100231	seed_chapter_numbers_to_100	ceb4fdd491f7fe7fc8331bf291099bec	b683a6bcb3fbd29854332b9c29462c38
20260616112002	seed_chapter_place_value	15336024b8aaceb186a52056fc701e5e	55a55dd59b5833853ac884db20d5d11c
20260616113036	seed_chapter_skip_counting	17860baacf578402cb9d3ffcba41cdd8	11f3112268bbdb062851c73d030937e7
20260616114634	seed_chapter_story_problems	bf88d865bd243cda55a4aad2b01d442f	e0bc0fe59c4cdd4ba8d13dceceee7626
20260616120411	seed_chapter_multiplication	7f61f89f068effef36af47aca86a797a	edaea4adf512ea1e04c5bb824d52797e
20260616131455	seed_chapter_fractions	aa13485ff6dc1dcf8473db6ed69a9c76	0dd84ee614c694220afd20228527eafc
20260616133249	seed_chapter_money	47e21919ca309c492392b70dc2f217fc	3bfc769b796474c89cb697bcbf865b69
20260616135344	seed_chapter_time	c088684eee42f3d84984280f1e78abd5	9af3c6b2e8d4cf2aa5e578607ce6467c
20260616141828	seed_chapters_6_8_extend	67d70f8872692c3a57eb07525c34fde3	c49b794655e403d8f23f93288d316be3
20260617004359	widen_age_group_9_11	c1650d0fbf5cb7913905910a855d3699	85d62038d482a07c0474cd68c17448fe
20260617004432	seed_chapter_big_numbers	57b7b1801f32a71e86c0e481a61bb932	50bc9e75871a15b638f0e33e94ec0362
20260617005044	seed_chapter_rounding	313c7ae4600ceda726b9bbdbb6dc06c6	ec4fb1de832e2adfe7f4b4b3ccb8a294
20260617012517	seed_chapter_times_tables	482607fe70f6f87683b6f348c8dbd4ff	aa39304e04133dbbafadf727fd134d2d
20260617013927	seed_chapter_division	5e40ff35407c639f251997367e3b9658	f56a9ddb7e06b71480b07d333d492047
20260617015724	seed_chapter_factors	4190374774e2b5229517c53cce1c6a98	7787a44cfa7442102a82ddc04e1a6f83
20260617061215	seed_chapter_fractions_compare	8e44942171854b116643df53036a1eeb	46a4b63915fb20e0c61df4c1dbec0413
20260617062300	seed_chapter_decimals	1d367d8dd09dfb5472cc47dea07e55a2	66a184dd93cfb5fcf6e8bd0842edf83a
20260617063532	seed_chapter_measurement_units	db467f78e0f9919d6c36109e9b73a9c4	73797efebb0ac059221dba9224349036
20260617101451	seed_chapter_area_perimeter	838ee80eb9648193ee8e32b67feb9016	f809b17bd0e8c5426f67b4f255e6139c
20260617103206	seed_chapter_angles_symmetry	67ee351795e94ff0506bb4c8f0395a37	6f4da86af5774e472a662681e7e6bff8
20260617111507	learner_events	dc4462086e35ed14166e901a09b11f15	0f46d45c1a27ce372ae97173482cd968
20260617133302	seed_chapter_data_graphs	9d67ecb9a81a2182218ae7deaa023708	e42fc86b9799aa735db0c2fecb1de58b
20260617133316	seed_chapter_word_problems	e8cd3384324459ff90f7e8de43b43d11	aa27a5b3536e0a420c082214a1f423d1
20260617140142	drop_dead_rpcs	d747263609d9659d4ab2d90ac68fdae8	6e59e5ca4ca8cddbd557b5837ab09c60
20260617144759	fix_learner_access_grant_and_perf	1e172023ce2aa59b7c1541ba37ec81c4	90d8d8f7f535ec219d6fdb2dd6e22fd4
20260617145125	fix_learner_access_recursion	877279d50b0a25618e8eb96549e4cc0b	94a94697b6294190edec0adb9ecafbb4
20260617150142	anti_abuse_learner_cap	5afe6a80c596b92e7391552473f59609	e6aad186175022e57c64a922cc390d36
20260617150311	anti_abuse_event_retention	82ea0a79c9e8ca5cfbdb25db0128b680	3674413aaa32b1916aca966e4e1f9008
20260628083735	teen_bands_and_seed_integers	0678c29dc2bfd125bbf3242ca46d0326	20a959752f5cd565f85d8695558fc398
20260628083921	seed_chapters_12_14	dd9c043160c3d427d1636e23f790b565	7cc13ddb7fffe8df1576244cd54c1678
20260628181320	seed_chapters_15_16	b9bb214b2f1ef031cb175d841f5b4c39	19a44c8587b3a6ddca2aab1c430e23de
20260629023238	grades	2a67047161886f71a62cd026a1d473a0	2732a51e23e1c4f4949e3e00a1baad72
20260629023502	grades_pin_touch_search_path	14af36578a37d47ef59dd99e56b20c3b	30277ee589cd0af634ee1623e654bb20
20260702032342	seed_chapters_17_18	22f6c8a592635acc9af55db264417cfc	7e11dedf80bb52437566496f5cb1fe25
20260702090611	diagnostic_engine_schema	2767e1583e13783ad7549783c882dcc7	a72a97710d2edf8188b764a90f1aa4f7
20260702113253	sync_recheck	59dd90c8d0420915808dbbc94b646761	d9e41dc0fcf92f0064e23486324a1916
20260702121810	fix_sync_recheck_order_by	5bc30b1820dd2003dd439d4c853f7853	5b2dd6377a91193a9b0e9b69af31db67
20260702131627	diagnostic_idempotency	b4c342d6ecd1bad4be152cf3fc3a172f	bd18adec76d08a5c239cddffa6eb2194
20260702140622	insights_streak_indexes	add7e92d36f1d980026ae6946519d1ec	6c0dad47c2b03ab6add743331ebc83b3
20260702145218	revoke_anon_sync_rpcs	c22a0155adaf4e19b0c00069a95f8ea8	86c4051de76406e9f99563d309883e9c
20260702163943	get_parent_dashboard_rpc	cab41e465e3002cde9b3c5ef05319d7f	e729311e4ea4e2e1d72b62f1315a748a
20260702164343	get_insights_rollup_rpc	7da213bff51fc3946f993ddd367196a6	b14e8ab5c51273352bcab1529e585bcc
20260703014247	harden_invite_access	fc404d85dd898d3af262f338c378323f	b981823033c94c4a8ede800d34dfa1af
